Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository
1977.20,False,False,229550,European Sculpture and Decorative Arts,Altar cloth,Altar cloth,Belgian,,,,,,,,,,,,,,late 19th century,1885,1899,"Bobbin lace, Point Ground lace",Overall: 223 x 15 in. (566.4 x 38.1 cm),"Gift of Nathaniel Spear, Jr., 1977",,,,,,,,,,,,Textiles-Laces,,http://www.metmuseum.org/art/collection/search/229550,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
D.1994.262.1393,False,False,279762,Photographs,Polaroid,[Hanging Mops and Brooms],,,,,,Artist,,Walker Evans,"American, St. Louis, Missouri 1903–1975 New Haven, Connecticut",,"Evans, Walker",American,1903      ,1975      ,1973–74,1973,1974,Instant color print,7.9 x 7.9 cm (3 1/8 x 3 1/8 in.),"Walker Evans Archive, 1994",,,,,,,,,,,,Photographs,"© Walker Evans Archive, The Metropolitan Museum of Art",http://www.metmuseum.org/art/collection/search/279762,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
49.50.253,False,False,387366,Drawings and Prints,Drawing,Painted Fan Leaf,,,,,,Artist,,"Anonymous, French, 18th century",,,"Anonymous, French, 18th century",French,1700      ,1800      ,18th century,1700,1799,Watercolor,sheet approx.: 22 1/4 x 12 1/2 in. (56.5 x 31.8 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1949",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/387366,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
13.228.7.3,False,True,446594,Islamic Art,Folio from an illustrated manuscript,"""Khusrau Catches Sight of Shirin Bathing"", Folio 50 from a Khamsa (Quintet) of Nizami",,,,,,Calligrapher|Calligrapher|Artist|Author,Painting by,Sultan Muhammad Nur|Mahmud Muzahhib|Shaikh Zada|Nizami (Ilyas Abu Muhammad Nizam al-Din of Ganja),ca. 1472–ca. 1536|probably 1141–1217,,Sultan Muhammad Nur|Mahmud Muzahib|Shaykh Zada|Nizami (Ilyas Abu Muhammad Nizam al-Din of Ganja),,1448      |1141      ,1561      |1217      ,dated A.H. 931/A.D. 1524–25,1500,1550,"Ink, opaque watercolor, and gold on paper","Page: H. 12 5/8 in. (32.1 cm)
          W. 8 3/4 in. (22.2 cm)
Mat: H. 19 1/4 in. (48.9 cm)
        W. 14 1/4 in. (36.2 cm)","Gift of Alexander Smith Cochran, 1913",Made in,Herat,,,present-day Afghanistan,,,,,,,Codices,,http://www.metmuseum.org/art/collection/search/446594,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
63.350.307.64.53,False,False,687492,Drawings and Prints,Print,"Snake Charmer, bakery insert card from the Pinocchio Circus Performers series (D64)",,,,,,Designer,,Walt Disney Productions,,,Walt Disney Productions,,,,1930–1939,1930,1939,Commercial color lithograph,Sheet: 3 3/4 in. × 2 in. (9.5 × 5.1 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/687492,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1970.565.74(18),False,False,655981,Drawings and Prints,Letter,Fragmentary note,,,,,,Author,Relates to a book illustrated by,Richard Doyle,"British, London 1824–1883 London",,"Doyle, Richard",British,1824      ,1883      ,"August 22, 1921 [?]",1921,1921,Pen and ink on gray paper,Sheet: 7 15/16 × 4 13/16 in. (20.1 × 12.2 cm),"Gift of Lincoln Kirstein, 1970",,,,,,,,,,,,Letters,,http://www.metmuseum.org/art/collection/search/655981,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
2017.678.20,False,False,757223,"Arts of Africa, Oceania, and the Americas",Ring,"Ring, rising circles",Songhay,,,,,,,,,,,,,,20th century,1900,1969,"Straw, beeswax, metal",H. 1 1/4 in. (3.2 cm),"Gift of Dr. and Mrs. Pascal James Imperato, 2017",,,,,Mali,,,,,,,Basketry-Ornaments|Jewelry,,http://www.metmuseum.org/art/collection/search/757223,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
2017.69.30,False,False,764825,Photographs,Carte-de-visite,[Mining Site Chincha Islands],,,,,,Artist,,José Negretti,Peruvian,,"Negretti, José",,,,1860s–70s,1860,1879,Albumen silver print,"Image: 5.4 x 8.6 cm
Mount: 6.3 x 10.1 cm","The Horace W. Goldsmith Foundation Fund, through Joyce and Robert Menschel, 2017",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/764825,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
2015.375,False,False,669045,Costume Institute,Playsuit,Playsuit,French,,,,,Designer,,Azzedine Alaïa,"French (born Tunisia), Tunis 1935–2017 Paris",,"Alaïa, Azzedine",,1935      ,2017      ,spring/summer 1991,1991,1991,"cotton, metal",,"Purchase, Gould Family Foundation Gift, in memory of Jo Copeland, 2014",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/669045,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
07.285.1,False,True,335483,Drawings and Prints,Drawing,Coast Scene,,,,,,Artist,,Jacob Esselens,"Dutch, Amsterdam 1626–1687 Amsterdam",,"Esselens, Jacob",Dutch,1626      ,1687      ,1626–87,1626,1687,Black chalk and gray wash. Framing line in pen & brown ink.,7 3/8 x 11 3/4 in.  (18.7 x 29.9 cm),"Gift of William Gretor, 1907",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/335483,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
39.16.17,False,False,746402,Drawings and Prints,Print,A man standing viewed from behind,,,,,,Artist,,Pablo Esteban O'Higgins,"Mexican, Salt Lake City, Utah 1904–1983 Mexico City",,"O'Higgins, Pablo Esteban",,1904      ,1983      ,1936,1936,1936,Lithograph,Sheet: 22 11/16 × 16 3/4 in. (57.7 × 42.6 cm),"Gift of Jean Charlot, 1939",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/746402,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
2016.402.589,False,False,778420,Drawings and Prints,"Baseball card, print","Card Number 421, Charlie Leibrandt, Cincinnati Reds",,,,,,Publisher,Issued by,Donruss Baseball Cards,,,Donruss Baseball Cards,,,,1981,1981,1981,Commercial Color Lithograph,Sheet: 3 1/2 × 2 1/2 in. (8.9 × 6.4 cm),"Gift of George R. Goldner, in honor of Stewart Goldner, 2016",,,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/778420,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
2007.27,True,False,232038,European Sculpture and Decorative Arts,Vase,Monumental vase,"French, Saint-Amand-en-Puisaye",,,,,Designer|Maker,Possibly executed by,Georges Hoentschel|Èmile Grittel,"French, Paris 1855–1915 Paris|French, 1870–1953",,"Hoentschel, Georges|Grittel Èmile",French|French,1855      |1870      ,1915      |1953      ,1899–1900,1899,1900,Glazed stoneware,"Overall (confirmed): 45 5/8 x 22 1/2 x 24 1/8 in., 145 lb. (115.9 x 57.2 x 61.3 cm, 65.7716 kg)","Purchase, Iris and B. Gerald Cantor Foundation Gift, 2007",,,,,,,,,,,,Ceramics-Pottery,,http://www.metmuseum.org/art/collection/search/232038,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
12.180.699,False,True,767408,Egyptian Art,"Sealing, Amenhotep III, Nebmaatre, Ptah",Document Sealing with the Throne Name of Amenhotep III,,New Kingdom,Dynasty 18,reign of Amenhotep III,,,,,,,,,,,ca. 1390–1353 B.C.,-1390,-1390,Mud,H. 2.3 cm (7/8 in.); w. 2.2 cm (7/8 in.); th. 0.5 cm (3/16 in.),"Rogers Fund, 1911, 1912",From,,,,Egypt,"Upper Egypt, Thebes",Malqata,Middle Palace,,"MMA excavations, 1910–12",,,,http://www.metmuseum.org/art/collection/search/767408,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
WW.664,False,False,650314,Drawings and Prints,Print,Happy Easter! (Frohe Ostern!),,,,,,Artist|Publisher,,Unknown|Wiener Werkstätte,,,Unknown|Wiener Werkstätte,,,,1912,1912,1912,Color lithograph,Sheet: 5 9/16 × 3 9/16 in. (14.1 × 9 cm),"Museum Accession, transferred from the Library",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/650314,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
41.190.71,False,True,198941,European Sculpture and Decorative Arts,Storage jar,Storage jar (albarello) for mostarda,Italian,,,,,,,,,,,,,,dated 1543,1543,1543,Maiolica (tin-glazed earthenware),Overall (confirmed): 13 7/16 × 8 1/2 × 8 1/2 in. (34.1 × 21.6 × 21.6 cm),"Bequest of George Blumenthal, 1941",,,,,,,,,,,,Ceramics-Pottery,,http://www.metmuseum.org/art/collection/search/198941,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
41.100.48a,False,True,226578,European Sculpture and Decorative Arts,Piece,Piece,Italian,,,,,,,,,,,,,,17th century,1600,1699,Silk,L. 58 1/4 x w. 10 3/8 inches (148.0 x 26.4 cm),"Gift of George Blumenthal, 1941",,,,,,,,,,,,Textiles-Woven,,http://www.metmuseum.org/art/collection/search/226578,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
36.90.1156,False,True,224248,European Sculpture and Decorative Arts,Piece,Piece,French,,,,,,,,,,,,,,18th century,1700,1799,Silk,L. 13 x W. 11 inches (33.0 x 27.9 cm),"Gift of The United Piece Dye Works, 1936",,,,,,,,,,,,Textiles-Velvets,,http://www.metmuseum.org/art/collection/search/224248,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
99.35.2961,False,True,322359,Ancient Near Eastern Art,Coin,Drachm,Parthian,Parthian,,,,,,,,,,,,,ca. A.D. 77–147,77,147,Silver,"Thickness 0.15 cm, Diameter 2.44 cm","Bequest of Joseph H. Durkee, 1898",,,,,,Iran,,,,,,Metalwork-Coins-Inscribed,,http://www.metmuseum.org/art/collection/search/322359,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
62.95,True,False,489258,Modern and Contemporary Art,Painting,The Lighthouse at Two Lights,,,,,,Artist,,Edward Hopper,"American, Nyack, New York 1882–1967 New York",,"Hopper, Edward",American,1882      ,1967      ,1929,1929,1929,Oil on canvas,29 1/2 x 43 1/4 in. (74.9 x 109.9 cm),"Hugo Kastor Fund, 1962",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/489258,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
"91.1.917a, b",False,True,187267,European Sculpture and Decorative Arts,Box,Box,French,,,,,,,,,,,,,,18th century,1700,1799,"Straw on painted papier-mâché, paper",Overall: 2 1/8 × 3 11/16 × 3 3/4 in. (5.4 × 9.4 × 9.5 cm),"Edward C. Moore Collection, Bequest of Edward C. Moore, 1891",,,,,,,,,,,,Natural Substances,,http://www.metmuseum.org/art/collection/search/187267,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
63.350.207.145.2.84,False,False,644862,Drawings and Prints,Print,"Card Number 237, Minnie Dupree, from the Actors and Actresses series (N145-2) issued by Duke Sons & Co. to promote Cross Cut Cigarettes",,,,,,Publisher,Issued by,"W. Duke, Sons & Co.","New York and Durham, N.C.",,"Duke, W. Sons & Co.",,1870      ,1920      ,1880s,1880,1889,Albumen photograph,Sheet: 2 5/8 × 1 7/16 in. (6.6 × 3.7 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Photographs|Ephemera,,http://www.metmuseum.org/art/collection/search/644862,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
2016.418,False,True,717637,American Decorative Arts,Quilt,Sunburst Quilt,American,,,,,Artist,Artist,Unknown,,", American",Unknown,,,,ca. 1835,1830,1840,Cotton,79 1/2 × 65 1/2 in. (201.9 × 166.4 cm),"George Coe Groves Fund and Estate of Flora E. Whiting, by exchange, 2016",Made in,,,,United States,Mid-Atlantic,,,,,,Textiles,,http://www.metmuseum.org/art/collection/search/717637,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1970.565.310,False,False,349151,Drawings and Prints,Book,"Happy Hours, Word and Picture Changes of 3, 4, and 5 Letters",,,,,,Illustrator|Publisher,,Walter Stranders|Dean & Son,"British, 19th century|London",,"Stranders, Walter|Dean & Son",British|British,1800      |1830      ,1900      |1950      ,1887,1887,1887,Illustrations: chromolithography,9 1/16 x 6 7/8 x 3/16 in. (23 x 17.5 x 0.5 cm),"Gift of Lincoln Kirstein, 1970",,,,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/349151,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
50.194.174,False,False,211088,European Sculpture and Decorative Arts,Medal,"Lesueur Eustache, (1617–55)","French, Paris",,,,,Artist|Manufactory,Medalist:|Cast after the original by the,Leclerc|Paris Mint,"French, 19th century|864–present",,Leclerc|Paris Mint,French,1800      |0864      ,1899      ,19th and 20th century,1800,1999,Bronze,Diameter: 1 5/8 in. (41 mm),"Gift of Louis S. Levy, 1950",,,,,,,,,,,,Medals and Plaquettes-Reproductions,,http://www.metmuseum.org/art/collection/search/211088,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1994.119,False,False,486344,Modern and Contemporary Art,Drawing,Camden Town,,,,,,Artist,,Christopher Richard Wynne Nevinson,"British, London 1889–1946 London",,"Nevinson, Christopher Richard Wynne",,1889      ,1946      ,ca. 1913–17,1913,1917,"Charcoal, crayon, and graphite on paper","H. 16-3/4, W. 13-5/8 inches
(42.5 x 34.6 cm.)
","Purchase, The Michael D. Dingman Foundation Gift, 1994",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/486344,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
45.100.207,False,True,2943,American Decorative Arts,Cup plate,Cup Plate,American,,,,,,,,,,,,,,1825–60,1825,1860,Lacy pressed glass,Dimensions unavailable,"Bequest of Anne Du Pont Peyton, 1944",Made in,,,,United States,Midwest ,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/2943,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
33.50.3,False,True,38412,Asian Art,Head,,"India (Bihar, Nalanda)",,,,,,,,,,,,,,7th–8th century,600,799,Stucco on a clay core,H. 4 3/4 in. (12.1 cm); W. 3 3/8 in. (8.6 cm); D. 2 9/16 in. (6.5 cm),"Rogers Fund, 1933",,,,,,,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/38412,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
09.50.1387,False,True,216505,European Sculpture and Decorative Arts,Fragment,Fragment,Greek Islands,,,,,,,,,,,,,,18th century,1700,1799,Silk on linen,L. 4 3/8 x W. 7 1/2 inches (11.1 x 19.1 cm),"Rogers Fund, 1909",,,,,,,,,,,,Textiles-Embroidered,,http://www.metmuseum.org/art/collection/search/216505,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
67.245.5,False,True,42247,Asian Art,Jar,,China,"Qing dynasty (1644–1911), Kangxi mark and period (1622–1722)",,,,,,,,,,,,,1713–22,1713,1722,"Porcelain with incised decoration under celadon glaze (Jingdezhen ware)

",H. 3 in. (7.6 cm); Diam. 3 1/8 in. (7.9 cm),"Gift of Edwin C. Vogel, 1967",,,,,,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/42247,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
50.130.147ff recto,False,False,12422,American Decorative Arts,Watercolor,Boats on Mountain Lake (from Switzerland 1869 Sketchbook),American,,,,,Artist,,John Singer Sargent,"American, Florence 1856–1925 London",,"Sargent, John Singer",American,1856      ,1925      ,1869,1869,1869,Watercolor and graphite on off-white wove paper,7 3/4 x 11 3/4 in. (19.7 x 29.8 cm),"Gift of Mrs. Francis Ormond, 1950",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/12422,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
60.627.4(1),False,False,425701,Drawings and Prints,Print,Der Berg Jefferson (Mount Jefferson),,,,,,Artist|Engraver,After|Engraved by,William Henry Bartlett|Albert Henry Payne,"British, London 1809–1854 at sea|British (active Germany), London 1812–1902 Leipzig",,"Bartlett, William Henry|Payne, Albert Henry",British|British,1809      |1812      ,1854      |1902      ,ca. 1850,1845,1855,Steel engraving,"Image: 2 13/16 × 4 5/16 in. (7.2 × 11 cm)
Sheet: 3 13/16 × 5 1/4 in. (9.7 × 13.3 cm)","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1960",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/425701,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1979.292.23,False,False,496287,Modern and Contemporary Art,Drawing,Untitled (Female nude studies),,,,,,Artist,,Reginald Marsh,"American, Paris 1898–1954 Dorset, Vermont",,"Marsh, Reginald",American,1898      ,1954      ,ca. 1926,1921,1931,Black chalk on paper,13 3/4 x 9 3/4 in. (34.9 x 24.8 cm),"Bequest of Felicia Meyer Marsh, 1979",,,,,,,,,,,,Drawings,"© 2018 Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/496287,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
"68.141.63a, b",False,True,204881,European Sculpture and Decorative Arts,Sugar bowl with cover,Sugar bowl with cover,"British, London",,,,,Maker,,William Bellassyse,active 1716–23,,Bellassyse William,,1716      ,1723      ,1720,1720,1720,Silver,Diameter: 4 5/8 in. (11.7 cm),"Gift of Irwin Untermyer, 1968",,,,,,,,,,,,Metalwork-Silver,,http://www.metmuseum.org/art/collection/search/204881,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
SL.8.2012.2.50,False,False,76687,Asian Art,,,China,,,,,Artist,,Fu Baoshi,"Chinese, 1904–1965",,Fu Baoshi,Chinese,1904      ,1965      ,dated 1958,1958,1958,Horizontal scroll; ink and color on paper,Image: 23 5/8 x 41 9/16 in. (60 x 105.5 cm),Lent by Nanjing Museum,,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/76687,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
63.350.208.145.4.104,False,True,646962,Drawings and Prints,Photograph,"Card Number 98, Ada Richmond, from the Actors and Actresses series (N145-4) issued by Duke Sons & Co. to promote Cameo Cigarettes",,,,,,Publisher,Issued by,"W. Duke, Sons & Co.","New York and Durham, N.C.",,"Duke, W. Sons & Co.",,1870      ,1920      ,1880s,1880,1889,Albumen photograph,Sheet: 2 11/16 × 1 3/8 in. (6.8 × 3.5 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Photographs|Ephemera,,http://www.metmuseum.org/art/collection/search/646962,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
WW.869,False,False,651009,Drawings and Prints,Print,Fashion (Mode),,,,,,Artist|Publisher,,Eduard Josef Wimmer-Wisgrill|Wiener Werkstätte,"Austrian, Vienna 1882—1961 Vienna",,"Wimmer-Wisgrill, Eduard Josef|Wiener Werkstätte",Austrian,1882      ,1961      ,1912,1912,1912,Color lithograph,Sheet: 5 1/2 × 3 9/16 in. (14 × 9 cm),"Museum Accession, transferred from the Library",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/651009,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
10.211.619,False,True,60050,Asian Art,Netsuke,,Japan,,,,,,,,,,,,,,late 18th century,1767,1799,Ivory,H. 1 5/8 in. (4.1 cm); W. 1 in. (2.5 cm),"Gift of Mrs. Russell Sage, 1910",,,,,,,,,,,,Netsuke,,http://www.metmuseum.org/art/collection/search/60050,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
51.501.3629,False,False,629802,Drawings and Prints,Print,"Vendor of Chicken Dung, from Di Bologna l'Arti per via D'An.ibal' Ca.rac, plate 30",,,,,Di Bologna l'Arti per via D'An.ibal' Ca.rac,Artist|Artist|Publisher,After desings by,Giuseppe Maria Mitelli|Annibale Carracci|Giovanni Giacomo De Rossi,"Italian, Bologna (?) 1634–1718 Bologna|Italian, Bologna 1560–1609 Rome|Italian, Rome 1627–1691 Rome",,"Mitelli, Giuseppe Maria|Carracci, Annibale|Rossi, Giovanni Giacomo De",Italian|Italian|Italian,1634      |1560      |1627      ,1718      |1609      |1691      ,1660,1660,1660,Etching; first state of three (Bertarelli),"Mount: 15 3/16 in. × 10 1/4 in. (38.6 × 26 cm)
Sheet: 11 1/8 × 7 11/16 in. (28.3 × 19.6 cm)","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1951",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/629802,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
26.31.275,False,False,252225,Greek and Roman Art,Seal,Seal,"Minoan, Crete",,,,,,,,,,,,,,,-2000,-1450,Haemaetite,Other: 7/16 x 3/4 x 1/4 in. (1.1 x 1.9 x 0.6 cm),"Bequest of Richard B. Seager, 1926",,,,,,,,,,,,Gems,,http://www.metmuseum.org/art/collection/search/252225,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1973.165,False,True,435833,European Paintings,Painting,Herodias,,,,,,Artist,,Francesco Cairo,"Italian, Milan 1607–1665 Milan",,"Cairo, Francesco",Italian,1607      ,1665      ,before 1635,1627,1635,Oil on canvas,29 5/8 x 24 5/8 in. (75.2 x 62.5 cm),"Gift of Paul Ganz, in memory of Rudolf Wittkower, 1973",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435833,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
22.1.279,False,True,545095,Egyptian Art,"Amulet, Handle of a Peseshkef  ""Opening of the Mouth"" tool","Handle of an ""Opening of the Mouth""  Peseshkef amulet",,Middle Kingdom,Dynasty 12–13,,,,,,,,,,,,ca. 1981–1640 B.C.,-1981,-1640,Gold; copper,l. 2.4 cm (15/16 in),"Rogers Fund and Edward S. Harkness Gift, 1922",From,,,,Egypt,Memphite Region,Lisht North,Tomb 954,Burial 954L,"MMA excavations, 1921–22",,,,http://www.metmuseum.org/art/collection/search/545095,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1997.87,False,False,487009,Modern and Contemporary Art,Print,"Mother Hen, from ¦Picasso: Original Etchings for the Texts of Buffon¦",,,,,,Artist|Printer|Publisher,,"Pablo Picasso|Roger Lacourière|Martin Fabiani, Paris","Spanish, Malaga 1881–1973 Mougins, France|French, 1892–1966",,"Picasso, Pablo|Lacourière, Roger|Fabiani, Martin",Spanish|French,1881      |1892      ,1973      |1966      ,"1936, printed 1942",1936,1936,Etching and aquatint,"Image (plate mark trimmed): 10 9/16 x 8 1/16 in. (26.8 x 20.5 cm)
Sheet: 14 1/2 x 11 in. (36.8 x 27.9 cm)","Purchase, The Gerta Charitable Trust Gift, 1997",,,,,,,,,,,,Prints,"© 2018 Estate of Pablo Picasso / Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/487009,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1994.251.797,False,False,273007,Photographs,Negative,"[Shanties with Church in Distance, Outskirts of Havana]",,,,,,Artist,,Walker Evans,"American, St. Louis, Missouri 1903–1975 New Haven, Connecticut",,"Evans, Walker",American,1903      ,1975      ,1933,1933,1933,Film negative,2 1/2 x 4 1/4 in.,"Walker Evans Archive, 1994",,,,,,,,,,,,Negatives,"© Walker Evans Archive, The Metropolitan Museum of Art",http://www.metmuseum.org/art/collection/search/273007,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
67.31.7,False,False,489667,Modern and Contemporary Art,Drawing,Nude,,,,,,Artist,,Robert Ranieri,"American, born 1930",,"Ranieri, Robert",American,1930      ,2030      ,1963,1963,1963,Ink and wash on paper,"H. 23-7/8, W. 18 inches
(60.6 x 45.7 cm.)
","Gift of Albert TenEyck Gardner, 1967",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/489667,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
23.229.4-7,False,True,466496,Medieval Art,Fragment,Glass Fragment,French,,,,,,,,,,,,,,13th century,1200,1299,Glass,Overall: 2 5/8 x 5 7/8 in. (6.7 x 14.9 cm),"Gift of Dr. Bashford Dean, 1923",Made in,,,Bourges,France,,,,,,,Glass-Stained,,http://www.metmuseum.org/art/collection/search/466496,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
63.350.619.414.66,False,False,764596,Drawings and Prints,Print,Tom Mix from Western Stars -- Special Sets Exhibits series (W414),,,,,,Publisher,,Exhibit Supply Company,,,Exhibit Supply Company,,1900      ,1971      ,ca. 1920–29,1920,1929,Commercial color photolithograph,Sheet: 5 5/16 × 3 3/8 in. (13.5 × 8.5 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/764596,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
"1976.386.1, .2",False,True,14945,American Decorative Arts,Piece,Woven piece,British,,,,,Designer|Maker,Designed by,William Morris|Morris & Company,"British, Walthamstow, London 1834–1896 Hammersmith, London",,"Morris, William|Morris & Company",British,1834      ,1896      ,ca. 1878,1875,1878,"Wool, woven","1976.386.1: 77 3/4 × 69 3/4 in. (197.5 × 177.2 cm)
1976.386.2: 88 3/4 × 70 1/2 in. (225.4 × 179.1 cm)","Rogers Fund, Sylmaris Collection, Gift of George Coe Graves, Sansbury Mills Fund, In memory of Mrs. T. Clearwater, 1976",Made in,London,,,England,,,,,,,Textiles,,http://www.metmuseum.org/art/collection/search/14945,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
"Burdick 326, R405.30",False,False,416459,Drawings and Prints,Print,"Jack (Dutch) Garfinkel, from the Basketball series (R405), issued by Bowman Gum Company",,,,,,Publisher,,Bowman Gum Company,,,Bowman Gum Company,,1900      ,1999      ,1948,1948,1948,Commercial Chromolithograph,Sheet: 2 9/16 x 2 1/16 in. (6.5 x 5.3 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/416459,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
D.1994.262.1124,False,False,279464,Photographs,Polaroid,"[Auto Junkyard, Old Lyme, Connecticut: Chassis]",,,,,,Artist,,Walker Evans,"American, St. Louis, Missouri 1903–1975 New Haven, Connecticut",,"Evans, Walker",American,1903      ,1975      ,"December 1, 1973",1973,1973,Instant color print,7.9 x 7.9 cm (3 1/8 x 3 1/8 in.),"Walker Evans Archive, 1994",,,,,,,,,,,,Photographs,"© Walker Evans Archive, The Metropolitan Museum of Art",http://www.metmuseum.org/art/collection/search/279464,10/22/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
